#time(s),x(m),y(m),z(m),qx,qy,qz,qw,gt_x(m),gt_y(m),gt_z(m),gt_qx,gt_qy,gt_qz,gt_qw
16.000000,13.669314,0.000000,1.116321,0.000000,0.017531,0.000000,0.999846,13.672542,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
17.000000,16.393623,0.000000,0.932925,0.000000,0.022293,0.000000,0.999751,16.398352,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
18.000000,19.457367,0.000000,0.742389,0.000000,0.027437,0.000000,0.999624,19.464310,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
19.000000,22.880467,0.000000,0.544696,0.000000,0.032564,0.000000,0.999470,22.890419,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
20.000000,26.682991,0.000000,0.343565,0.000000,0.037110,0.000000,0.999311,26.696678,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
21.000000,30.885547,0.000000,0.146474,0.000000,0.040464,0.000000,0.999181,30.903086,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
22.000000,35.508592,0.000000,-0.036150,0.000000,0.042093,0.000000,0.999114,35.529644,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
23.000000,40.573200,0.000000,-0.193789,0.000000,0.041718,0.000000,0.999129,40.596355,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
24.000000,46.099823,0.000000,-0.319104,0.000000,0.039413,0.000000,0.999223,46.123215,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
25.000000,52.108331,0.000000,-0.408767,0.000000,0.035495,0.000000,0.999370,52.130222,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
26.000000,58.618186,0.000000,-0.464199,0.000000,0.030451,0.000000,0.999536,58.637383,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
27.000000,65.648957,0.000000,-0.489658,0.000000,0.024778,0.000000,0.999693,65.664688,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
28.000000,73.220032,0.000000,-0.490596,0.000000,0.018885,0.000000,0.999822,73.232147,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
29.000000,81.351585,0.000000,-0.472458,0.000000,0.013074,0.000000,0.999915,81.359756,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
30.000000,90.062350,0.000000,-0.439879,0.000000,0.007545,0.000000,0.999972,90.067513,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
31.000000,99.372953,0.000000,-0.396674,0.000000,0.002422,0.000000,0.999997,99.375427,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
32.000000,109.303055,0.000000,-0.345780,0.000000,-0.002220,0.000000,0.999998,109.303482,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
33.000000,119.872770,0.000000,-0.289619,0.000000,-0.006334,0.000000,0.999980,119.871696,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
34.000000,131.101960,0.000000,-0.230240,0.000000,-0.009889,0.000000,0.999951,131.100052,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
35.000000,143.010784,0.000000,-0.169485,0.000000,-0.012860,0.000000,0.999917,143.008560,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
36.000000,155.619375,0.000000,-0.109091,0.000000,-0.015235,0.000000,0.999884,155.617218,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
37.000000,168.947946,0.000000,-0.050735,0.000000,-0.017008,0.000000,0.999855,168.946030,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
38.000000,183.016599,0.000000,0.004012,0.000000,-0.018187,0.000000,0.999835,183.014984,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
39.000000,197.845279,0.000000,0.053733,0.000000,-0.018795,0.000000,0.999823,197.844101,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
40.000000,213.454173,0.000000,0.097253,0.000000,-0.018872,0.000000,0.999822,213.453354,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
41.000000,229.863297,0.000000,0.133708,0.000000,-0.018473,0.000000,0.999829,229.862762,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
42.000000,247.092687,0.000000,0.162582,0.000000,-0.017665,0.000000,0.999844,247.092316,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
43.000000,265.162314,0.000000,0.183705,0.000000,-0.016524,0.000000,0.999863,265.162018,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
